BDNF_N	NR1_N	      NR2A_N	pAKT_N
0.2470907	1.8665765	3.470636	0.2142084
0.2683943	1.9775281	3.2205509	0.2361363
0.267684	1.9669659	3.2655296	0.2267504
0.2392069	1.7121842	2.9056604	0.2163415
0.3138345	1.8605427	2.875 	0.2350979
0.26097	1.769683	2.6338442	0.2284275
0.2491357	1.6762253	2.6408379	0.249339
0.3373984	2.0603502	3.1419637	0.300813
0.3244698	2.079139	3.1823362	0.3279519
0.3016393	1.885842	2.8682563	0.2923994
0.397491	1.9874552	2.9795699	0.321147
0.3359482	1.8939291	2.6637108	0.2854707
0.3427146	1.9800499	2.8386177	0.3085144
0.3279842	2.6590544	5.3477348	0.2340452
0.2910238	2.4215565	4.7872508	0.2052033
0.2917961	2.4593257	4.8114141	0.2165459
0.3244191	2.3689902	4.2897852	0.2253398
0.2858324	2.199559	4.06629	0.206312
0.2750208	2.2201275	3.9233435	0.2101469
0.3167036	2.2887792	3.9077133	0.222033
0.2633679	2.0788508	3.51668	0.211652
0.2656275	2.1144666	3.7152135	0.2135087
0.2769416	2.0309051	3.3078467	0.218543
0.2637131	1.9581895	3.0947449	0.2126966
0.2581552	1.8886389	2.9898763	0.2026622
0.3207547	1.9617804	2.9963716	0.2402032
0.280268	1.8784658	2.8426525	0.2204251
0.2808989	1.875	      2.7696629	0.2366573
0.2908765	2.3973603	5.0709892	0.214121
0.3091839	2.5223539	5.0939941	0.2265015
0.2882977	2.4151487	4.7558642	0.2066571
0.3112517	2.3670107	4.6890812	0.2185419
0.2843691	2.2106089	4.0764281	0.2062147
0.2795543	2.2382106	4.0600775	0.2036499
0.2673422	2.1221746	3.8125487	0.2252533
0.281417	2.1197309	3.5834158	0.2020582
0.3153293	2.0514863	3.6343501	0.215271
0.312906	1.9051537	3.228887	0.2291035
0.2975786	1.9918534	3.2367051	0.2009504
0.2676621	1.9449521	3.0846891	0.2288834
0.2682366	1.8385985	2.6134406	0.1932797
0.3168589	1.641955	2.3964854	0.1952224
0.3320218	1.8296005	2.6921913	0.2091404
0.3055884	2.2314267	3.6508876	0.2230112
0.2996982	2.2141451	3.7111928	0.1977431
0.2967562	2.1578814	3.6064369	0.1964014
0.2864023	2.1040295	3.1865468	0.2180125
0.2891509	2.0906484	3.3186235	0.1949976
0.2802876	2.0379866	3.1839925	0.2100985
0.2769613	1.9662149	3.0080168	0.2208437
0.2656103	1.8971892	2.8947368	0.2001509
0.2761441	1.9674781	3.0833496	0.2192795
0.2906919	1.9333001	2.7837232	0.2346939
0.2747017	1.8768496	2.6818616	0.1973747
0.2495967	1.8151648	2.5291542	0.1963586
0.3032258	1.9167742	2.633871	0.2274194
0.2844801	1.8392471	2.5458192	0.2116631
0.2786694	1.7084914	2.3414065	0.2103881
0.3378578	2.5894369	4.2838328	0.2714689
0.3371491	2.5863996	4.2146361	0.2589261
0.3717967	2.8143213	4.5737297	0.2776395
0.319888	2.4794205	3.9282186	0.2548568
0.3319185	2.5495756	4.0073005	0.2684211
0.345114	2.6253755	4.2040997	0.2731931
0.3027714	2.3746614	3.5957491	0.2733903
0.3094267	2.4262401	3.8065278	0.2729225
0.3034197	2.3695337	3.3552332	0.264456
0.3101315	2.3454499	3.3034287	0.320959
0.3639344	2.5519126	3.7	      0.2959016
0.3177283	2.3855206	3.2202609	0.2778204
0.2686881	2.2581807	3.0849595	0.2870009
0.2583774	2.2795414	3.0146972	0.2674897
0.3318214	2.7323796	3.6905094	0.3279833
0.3372065	2.5082997	4.5177852	0.2280057
0.3474002	2.5448609	4.586578	0.2379686
0.3552165	2.56423	4.4846227	0.2267566
0.3161562	2.375381	4.0364349	0.2287705
0.3234821	2.4403804	3.8029261	0.2362838
0.3070151	2.3040805	3.7722191	0.2295975
0.2814392	2.186127	3.3639509	0.2371562
0.2927048	2.301667	3.6845313	0.2455637
0.3039519	2.2873793	3.7118922	0.2442178
0.2463138	1.8780718	2.8495274	0.2357278
0.2919708	2.1268785	3.0446544	0.2524689
0.2882427	2.0783818	3.0935525	0.2492625
0.2799595	1.9668102	2.8284773	0.2819863
0.3170249	2.2087104	3.0602376	0.2944005
0.3387311	2.0525617	2.884789	0.2909477
0.4149799	2.7061079	5.2562639	0.2609897
0.4243253	2.8037017	5.5343727	0.2694201
0.4447597	2.9182609	5.7177117	0.2904348
0.3908459	2.5210892	4.9673233	0.2755504
0.3891756	2.5140466	5.0705194	0.2718725
0.4145476	2.6723832	5.6918983	0.2835009
0.3496706	2.1076651	4.2251326	0.2816969
0.3619813	2.21732	4.412498	0.2962113
0.3851111	2.3693403	4.9796507	0.3015092
0.3794764	2.0573822	3.8347644	0.2948691
0.3670436	2.1009213	4.0291039	0.2927136
0.3720244	2.1950706	4.3812934	0.3008216
0.3387691	1.9710679	3.3290373	0.3158864
0.3577643	2.0234643	3.5607698	0.3163723
0.3464709	2.0316847	3.5950541	0.321999
0.4190171	2.8592317	5.3210763	0.229538
0.4328929	2.9396732	5.3849096	0.2344402
0.4632568	3.0906835	5.5761014	0.2443046
0.3644717	2.5343386	4.6052539	0.2343032
0.3761718	2.584431	4.7869942	0.2408924
0.3909981	2.6664279	5.1018386	0.2443887
0.3392678	2.3095477	4.2321608	0.2333094
0.3509778	2.414939	4.3839141	0.2401117
0.3696033	2.5014586	4.6156651	0.2488331
0.3204704	2.1111724	3.1661154	0.2289599
0.3115411	2.0116806	3.2339609	0.2160042
0.3238971	2.1693015	3.4685662	0.2380515
0.2970276	2.0049886	3.0783621	0.2375805
0.3129436	2.0574113	3.2375783	0.2306889
0.3080902	2.0597972	3.2793296	0.243534
0.3608175	2.4802175	4.4742777	0.1644015
0.347359	2.4685169	4.5037302	0.1774595
0.3666701	2.556628	4.6661875	0.1862614
0.3268497	2.2584541	4.1003051	0.1881515
0.3257724	2.3146917	4.1663408	0.1926737
0.3389315	2.3984396	4.2002116	0.2228247
0.3073905	2.1932636	3.8337148	0.0794637
0.3220779	2.1654221	3.7202922	0.075487
0.3169866	2.1632521	3.7207614	0.063236
0.3436337	2.4311243	3.6688384	0.2185406
0.353086	2.4644074	3.7232109	0.1215449
0.34039	2.4363974	3.6597957	0.086351
0.3515513	2.5564002	3.7162523	0.1651942
0.3608356	2.6729268	3.873813	0.1842161
0.3722597	2.6876054	3.8931282	0.1913997
0.3979228	2.7553554	4.8808828	0.1249594
0.4104832	2.8167076	4.9834562	0.1291564
0.4007324	2.7650056	4.9563764	0.1209998
0.3320774	2.4736787	4.3482993	0.1486133
0.3272952	2.4458625	4.2973446	0.1523261
0.3265095	2.450062	4.4627792	0.1723532
0.2944777	2.2628491	3.8639204	0.1492157
0.2993462	2.2476741	3.9107367	0.148353
0.2990937	2.2184038	3.9444864	0.1602467
0.2779697	2.1109776	3.6036942	0.1624869
0.2725613	2.0876579	3.6659565	0.1412266
0.2703065	2.0630765	3.6239215	0.1536745
0.2556561	1.8684012	3.0499623	0.1359351
0.2488806	1.8472015	3.0845149	0.1378731
0.2507837	1.8191038	3.0466531	0.149917
0.4370483	3.1260936	6.0038037	0.2097756
0.4262598	3.0295885	5.8320851	0.2027739
0.4244977	2.9831497	5.8439033	0.2031293
0.3969277	2.8276759	5.305005	0.214445
0.3824481	2.7133437	5.2437358	0.2116053
0.3703355	2.6375515	5.015774	0.2064744
0.3544444	2.4628571	4.6766667	0.215873
0.3459627	2.4479814	4.3423913	0.2180124
0.31762	2.214142	4.1441506	0.201351
0.3739021	2.6838143	5.0363864	0.2570054
0.3577398	2.5167131	4.499801	0.2317947
0.3598575	2.5376089	4.5387965	0.2325812
0.4437897	3.0751029	5.8675645	0.187804
0.4402908	3.037572	5.931653	0.1819126
0.4452067	3.0063045	5.834415	0.1865381
0.4971599	3.7576413	8.4825534	0.2345145
0.3400286	2.5880057	5.9447882	0.1613517
0.4012651	3.0833813	7.1207591	0.2017251
0.4541978	3.3378221	7.0317539	0.2347465
0.3203511	2.4088773	5.2219337	0.1772997
0.3851558	2.9518937	6.4651802	0.2121258
0.3762631	2.9869229	5.8074103	0.2332078
0.2517112	1.9084334	3.7931034	0.1532998
0.338774	2.6532463	5.4124048	0.2074719
0.352427	2.5760294	4.4812514	0.2403957
0.204932	1.5481859	2.7429138	0.1361961
0.3232432	2.3176216	4.2467027	0.2227027
0.3756656	2.2907348	3.8985623	0.2066028
0.3019286	1.8880514	3.2828641	0.1746841
0.2905848	2.1977446	3.8738526	0.2331498
0.4385041	3.1747432	4.1583487	0.2057545
0.419144	2.9874301	3.9687009	0.1933882
0.4016512	2.8891768	3.8068579	0.1885621
0.3548307	2.6994784	4.4029307	0.2106963
0.3448164	2.6887412	4.1727324	0.2096944
0.3106038	2.3934462	3.9405744	0.1854934
0.3188157	2.4250202	3.94038	0.1990703
0.3046254	2.3450849	3.6775017	0.198468
0.2986275	2.3316667	3.8272549	0.1940196
0.2816128	2.1487954	3.2581451	0.1953564
0.2629147	1.9599526	3.186019	0.2021327
0.2540591	1.9587665	3.1693727	0.1803528
0.2788171	2.0641219	3.1048582	0.1926675
0.2542989	1.9247868	2.8673284	0.1835593
0.2643184	1.9189576	2.9889748	0.1857102
0.3836988	2.7368128	5.0124722	0.2175882
0.3661198	2.9410472	4.9357092	0.2115551
0.3693855	2.8433406	4.9138334	0.2086712
0.3147188	2.5888512	4.3951935	0.2020343
0.311226	2.4910758	4.1727299	0.1976007
0.3042705	2.5234282	4.2336892	0.1949387
0.286519	2.3412192	3.7828264	0.2012768
0.2853451	2.3338255	3.6480866	0.2122554
0.2785328	2.237282	3.4711966	0.1920625
0.2676855	2.17268	3.2357019	0.191429
0.2637228	2.1001227	3.0602576	0.1953389
0.25138	2.0176041	2.9370431	0.1829032
0.2492832	2.0419355	2.9379928	0.1865591
0.2608244	1.9603395	2.795982	0.1989955
0.2463122	2.0041166	2.6545455	0.1718696
0.335251	2.3561715	5.0591004	0.2501743
0.3412232	2.3211818	5.1214582	0.2442985
0.326874	2.2955975	4.8765936	0.2466429
0.3393186	2.4468232	4.6130295	0.2732505
0.3429538	2.3986471	4.6685457	0.2730552
0.3345709	2.2956978	4.3939725	0.2572614
0.3132929	2.2324876	4.168781	0.2705461
0.3096862	2.2324693	3.7658936	0.2755798
0.3369963	2.2679628	3.7943083	0.2826148
0.3296625	2.2401421	3.7079929	0.3069272
0.3039544	2.1692359	3.4175603	0.2922252
0.2962963	2.1124339	3.4814815	0.2847222
0.3562331	1.9594751	2.9347742	0.2906214
0.3688833	2.1166876	2.8017566	0.3140945
0.3444109	1.9169184	2.7246979	0.3111782
0.3197861	2.5969442	4.4473644	0.2271963
0.3152141	2.6267841	4.4734285	0.2320073
0.3213797	2.6064428	4.6818113	0.2282328
0.3148182	2.4145106	4.0047042	0.2297811
0.3225866	2.5278859	4.099685	0.2427274
0.3154639	2.6112465	4.2427366	0.2382381
0.3120713	2.3689986	3.5761317	0.2434842
0.3080092	2.3922197	3.7389016	0.2363844
0.3224629	2.3890536	3.763512	0.2513113
0.3096	2.2226667	3.2197333	0.2581333
0.3143919	2.2365905	3.2804036	0.2543813
0.3140032	2.2295564	3.409674	0.2447889
0.308646	2.0845024	2.8316476	0.2701468
0.3196748	2.0949594	2.8744715	0.2520325
0.2993016	2.1183904	2.9876954	0.2514134
0.3958382	3.1068657	5.9146485	0.2636962
0.3888695	3.1477471	5.7535219	0.2640587
0.3939572	3.164237	5.9197037	0.2660475
0.3694496	2.9669493	5.44561	0.2582268
0.3663743	3.0133041	5.3782164	0.2668129
0.3583476	3.0388794	5.5769011	0.2630074
0.3388415	2.8467405	4.9921918	0.2618486
0.331227	2.7089696	4.926277	0.2841847
0.3371551	2.7884271	4.8797922	0.2916517
0.3204896	2.6536718	4.3386219	0.2692656
0.2933646	2.4860252	4.2871773	0.2890975
0.4172214	2.5522869	4.2690573	0.2647627
0.3159204	2.4900498	3.710199	0.2748756
0.3031219	2.551863	4.0490937	0.3134441
0.3185534	2.5296012	4.0559822	0.2880852
0.3334632	2.6329048	4.3469679	0.2219192
0.335432	2.6482251	4.8746149	0.2359009
0.3372232	2.6407638	5.1170932	0.2450603
0.2106268	1.6715452	2.6661364	0.1585534
0.3265072	2.5422674	4.23673	0.2378768
0.3307138	2.5442043	4.5034381	0.2342829
0.2948621	2.2351719	3.5519456	0.2287495
0.2975697	2.3562537	3.8605019	0.2373049
0.2982283	2.3753937	3.7114173	0.2468504
0.302457	2.27543	3.3226044	0.2498772
0.3218011	2.3612312	3.4199949	0.2747393
0.3165208	2.4078744	3.5460628	0.2745754
0.3239437	2.2715013	2.8237938	0.2840875
0.3305633	2.3644198	2.9556787	0.2782395
0.3300595	2.2511905	3.08125	0.2979167
0.3301627	2.8946183	4.8765957	0.2236546
0.3337966	2.9897663	5.3476943	0.2255212
0.3446925	3.0462201	5.565348	0.2316229
0.3106178	2.7061472	4.6699783	0.2239988
0.3072747	2.7046688	4.6393671	0.223825
0.3148119	2.7742499	4.8939514	0.2327354
0.3274832	2.510829	3.9346527	0.2206871
0.2934566	2.4788835	3.9177089	0.2249411
0.3110251	2.6460348	3.9603482	0.2479691
0.2940026	2.3898305	3.3896132	0.2301173
0.3128931	2.4669811	3.7807727	0.2443845
0.310141	2.4924966	3.7273761	0.2514779
0.3097419	2.3230641	3.155426	0.2550652
0.2824134	2.2223363	2.9982028	0.2598203
0.3663194	2.4484954	3.2387153	0.2581019
0.3318171	2.7045727	4.1969117	0.1940388
0.3219309	2.6818832	4.1969011	0.1853397
0.3251816	2.7100484	4.296368	0.1924939
0.3064467	2.4434019	3.5520581	0.1938559
0.3065571	2.4597596	3.5723414	0.189107
0.295143	2.4135876	3.5971395	0.1859356
0.2760538	2.2880717	3.1872646	0.1888789
0.2851662	2.2652539	3.2500913	0.1892583
0.2885846	2.2548009	3.166963	0.1874111
0.269697	2.1381818	2.8262626	0.1868687
0.2689125	2.0695429	2.712766	0.1849882
0.2957011	2.1480514	2.9234632	0.1884291
0.2645228	2.0018154	2.5199689	0.2261411
0.2597874	1.9976666	2.5579466	0.1962665
0.2760847	2.0036157	2.517562	0.2040289
0.3501525	2.8623538	4.5617692	0.2372903
0.3615856	2.9376711	5.005607	0.2418829
0.3577526	2.8575615	4.5492419	0.2369729
0.32768	2.64128	4.25088	0.24064
0.3074205	2.528499	4.1439545	0.2273775
0.3096886	2.6193772	4.1286568	0.2315193
0.2978979	2.595996	3.9703704	0.2494494
0.2871756	2.4595567	3.8787649	0.2487213
0.3047219	2.491493	3.8063468	0.2460333
0.2975504	2.548511	3.6116715	0.259366
0.2945318	2.4841586	3.7310491	0.2443088
0.2968273	2.4618096	3.6484136	0.2568743
0.2979369	2.4751214	3.4493325	0.2748786
0.2958598	2.4421275	3.3493503	0.2813539
0.2865029	2.2528291	3.1446315	0.2715981
0.387528	2.8696276	5.2249439	0.2192014
0.4009818	2.9365506	5.3341979	0.2311041
0.4053283	3.0629876	5.5604186	0.2310181
0.3457976	2.6945323	4.5368278	0.2192725
0.3424281	2.7310558	4.5304368	0.2226298
0.3635487	2.900675	4.954677	0.2378255
0.3174105	2.4574362	4.0089833	0.2389847
0.3234651	2.4751349	4.3497156	0.231734
0.3420619	2.6378872	4.5063594	0.2319318
0.2272917	1.9339268	3.1744332	0.2000278
0.2505744	1.9965537	3.0169443	0.2189833
0.2855939	2.2965459	3.7631003	0.2291491
0.231018	1.8094995	2.7865169	0.2136534
0.238121	1.8896116	2.9130985	0.2104788
0.2846154	2.175052	3.4016632	0.2659044
0.2631696	2.0771875	3.6797161	0.1853166
0.2537644	2.0515943	3.4580381	0.1986271
0.2410875	1.9967206	3.486618	0.1839628
0.2644709	2.059986	3.420042	0.1844429
0.2484833	1.9261409	3.2298866	0.1936165
0.2372485	1.904867	3.1047372	0.1885788
0.2509309	1.8983325	3.0187793	0.1949166
0.2428776	1.8734681	2.9917237	0.1976763
0.2297081	1.7254247	2.6998693	0.1748221
0.2622418	1.8245983	2.756886	0.2039021
0.2511038	1.7597498	2.6184695	0.2032745
0.2303946	1.6052057	2.3539882	0.1748111
0.2424917	1.5842047	2.1888765	0.1895439
0.2159686	1.5545375	2.138089	0.1854276
0.2300758	1.4402786	2.0141364	0.1852079
0.3946636	2.5883568	5.1609918	0.2258557
0.4081669	2.6434558	5.1500535	0.2224501
0.3843665	2.4782016	4.9414169	0.2327997
0.3554449	2.298053	4.7892235	0.2187005
0.3496153	2.4053753	4.7545444	0.2364224
0.3575865	2.338953	4.7837178	0.2199423
0.3380587	2.1254159	4.4672356	0.2359323
0.3469388	2.2929085	4.5420643	0.2246366
0.3554181	2.4019435	4.5597762	0.2343934
0.3757159	2.2632684	4.1968309	0.2418862
0.3508772	2.3121265	4.2326971	0.2490842
0.3562041	2.3527252	4.2118284	0.2549285
0.3861893	2.1575021	3.8407928	0.2728048
0.342094	2.2061966	3.9527778	0.2532051
0.3470539	2.1796908	3.9149603	0.2551191
0.3649528	2.6030611	4.2076803	0.2025479
0.3661489	2.7036119	4.4842276	0.197465
0.3840488	2.6625642	4.6063572	0.2037988
0.3243646	2.3202427	3.6212503	0.198649
0.3359763	2.3792899	3.6416568	0.2178698
0.3348267	2.3279887	4.0180382	0.2064372
0.3124355	2.2913409	3.594778	0.2071102
0.3270566	2.4079333	3.6271029	0.2094459
0.3131068	2.2597087	3.6946299	0.2175364
0.3010438	2.1331258	3.0644571	0.2153452
0.3279375	2.2178633	3.5216149	0.2365264
0.312754	2.1846332	3.676795	0.2252758
0.2783193	2.0972493	2.8975525	0.2222222
0.2940182	2.0141619	3.1344325	0.2117945
0.2789101	2.0268183	3.2812701	0.2008153
0.3279803	2.6526108	4.2015764	0.1902463
0.3411026	2.696291	4.180077	0.1945683
0.3419296	2.6622168	4.5813107	0.1986246
0.3114651	2.4502007	3.8272704	0.2000753
0.3186586	2.4792179	4.0449307	0.2034184
