BDNF4  	pAKT4  
0.2491357	0.249339
0.3373984	0.300813
0.3244698	0.327952
0.3016393	0.292399
0.397491	0.321147
0.3359482	0.285471
0.3427146	0.308514
0.3279842	0.234045
0.2910238	0.205203
0.2917961	0.216546
0.3244191	0.22534
0.2858324	0.206312
0.2750208	0.210147
0.3167036	0.222033
0.2633679	0.211652
0.2656275	0.213509
0.2769416	0.218543
0.2637131	0.212697
0.2581552	0.202662
0.3207547	0.240203
0.280268	0.220425
0.2808989	0.236657
0.2908765	0.214121
0.3091839	0.226502
0.2882977	0.206657
0.3112517	0.218542
0.2843691	0.206215
0.2795543	0.20365
0.2673422	0.225253
0.281417	0.202058
0.3153293	0.215271
0.312906	0.229104
0.2975786	0.20095
0.2676621	0.228883
0.2682366	0.19328
0.3168589	0.195222
0.3320218	0.20914
0.3055884	0.223011
0.2996982	0.197743
0.2967562	0.196401
0.2864023	0.218013
0.2891509	0.194998
0.2802876	0.210099
0.2769613	0.220844
0.2656103	0.200151
0.2761441	0.21928
0.2906919	0.234694
0.2747017	0.197375
0.2495967	0.196359
0.3032258	0.227419
0.2844801	0.211663
0.2786694	0.210388
0.3378578	0.271469
0.3371491	0.258926
0.3717967	0.27764
0.319888	0.254857
0.3319185	0.268421
0.345114	0.273193
0.3027714	0.27339
0.3094267	0.272923
0.3034197	0.264456
0.3101315	0.320959
0.3639344	0.295902
0.3177283	0.27782
0.2686881	0.287001
0.2583774	0.26749
0.3318214	0.327983
0.3372065	0.228006
0.3474002	0.237969
0.3552165	0.226757
0.3161562	0.228771
0.3234821	0.236284
0.3070151	0.229598
0.2814392	0.237156
0.2927048	0.245564
0.3039519	0.244218
0.2463138	0.235728
0.2919708	0.252469
0.2882427	0.249263
0.2799595	0.281986
0.3170249	0.294401
0.3387311	0.290948
0.4149799	0.26099
0.4243253	0.26942
0.4447597	0.290435
0.3908459	0.27555
0.3891756	0.271873
0.4145476	0.283501
0.3496706	0.281697
0.3619813	0.296211

0.3851111	0.301509
0.3794764	0.294869
0.3670436	0.292714
0.3720244	0.300822
0.3387691	0.315886
0.3577643	0.316372
0.3464709	0.321999
0.4190171	0.229538
0.4328929	0.23444
0.4632568	0.244305
0.3644717	0.234303
0.3761718	0.240892
0.3909981	0.244389
0.3392678	0.233309
0.3509778	0.240112
0.3696033	0.248833
0.3204704	0.22896
0.3115411	0.216004
0.3238971	0.238052
0.2970276	0.237581
0.3129436	0.230689
0.3080902	0.243534
0.3608175	0.164402
0.347359	0.17746
0.3666701	0.186261
0.3268497	0.188152
0.3257724	0.192674
0.3389315	0.222825
0.3073905	0.079464
0.3220779	0.075487
0.3169866	0.063236
0.3436337	0.218541
0.353086	0.121545
0.34039	0.086351
0.3515513	0.165194
0.3608356	0.184216
0.3722597	0.1914
0.3979228	0.124959
0.4104832	0.129156
0.4007324	0.121
0.3320774	0.148613
0.3272952	0.152326
0.3265095	0.172353
0.2944777	0.149216
0.2993462	0.148353
0.2990937	0.160247
0.2779697	0.162487
0.2725613	0.141227
0.2703065	0.153675
0.2556561	0.135935
0.2488806	0.137873
0.2507837	0.149917
0.4370483	0.209776
0.4262598	0.202774
0.4244977	0.203129
0.3969277	0.214445
0.3824481	0.211605
0.3703355	0.206474
0.3544444	0.215873
0.3459627	0.218012
0.31762	0.201351
0.3739021	0.257005
0.3577398	0.231795
0.3598575	0.232581
0.4437897	0.187804
0.4402908	0.181913
0.4452067	0.186538
0.4971599	0.234515
0.3400286	0.161352
0.4012651	0.201725
0.4541978	0.234747
0.3203511	0.1773
0.3851558	0.212126
0.3762631	0.233208
0.2517112	0.1533
0.338774	0.207472
0.352427	0.240396
0.204932	0.136196
0.3232432	0.222703
0.3756656	0.206603
0.3019286	0.174684
0.2905848	0.23315
0.4385041	0.205755
0.419144	0.193388
0.4016512	0.188562
0.3548307	0.210696
0.3448164	0.209694
0.3106038	0.185493
0.3188157	0.19907
0.3046254	0.198468
0.2986275	0.19402
0.2816128	0.195356
0.2629147	0.202133
0.2540591	0.180353
0.2788171	0.192668
0.2542989	0.183559
0.2643184	0.18571
0.3836988	0.217588
0.3661198	0.211555
0.3693855	0.208671
0.3147188	0.202034
0.311226	0.197601
0.3042705	0.194939
0.286519	0.201277
0.2853451	0.212255
0.2785328	0.192063
0.2676855	0.191429
0.2637228	0.195339
0.25138	0.182903
0.2492832	0.186559
0.2608244	0.198996
0.2463122	0.17187
0.335251	0.250174
0.3412232	0.244299
0.326874	0.246643
0.3393186	0.273251
0.3429538	0.273055
0.3345709	0.257261
0.3132929	0.270546
0.3096862	0.27558
0.3369963	0.282615
0.3296625	0.306927
0.3039544	0.292225
0.2962963	0.284722
0.3562331	0.290621
0.3688833	0.314095
0.3444109	0.311178
0.3197861	0.227196
0.3152141	0.232007
0.3213797	0.228233
0.3148182	0.229781
0.3225866	0.242727
0.3154639	0.238238
0.3120713	0.243484
0.3080092	0.236384
0.3224629	0.251311
0.3096	0.258133
0.3143919	0.254381
0.3140032	0.244789
0.308646	0.270147
0.3196748	0.252033
0.2993016	0.251413
0.3958382	0.263696
0.3888695	0.264059
0.3939572	0.266048
0.3694496	0.258227
0.3663743	0.266813
0.3583476	0.263007
0.3388415	0.261849
0.331227	0.284185
0.3371551	0.291652
0.3204896	0.269266
0.2933646	0.289098
0.4172214	0.264763
0.3159204	0.274876
0.3031219	0.313444
0.3185534	0.288085
0.3334632	0.221919
0.335432	0.235901
0.3372232	0.24506
0.2106268	0.158553
0.3265072	0.237877
0.3307138	0.234283
0.2948621	0.22875
0.2975697	0.237305
0.2982283	0.24685
0.302457	0.249877
0.3218011	0.274739
0.3165208	0.274575
0.3239437	0.284088
0.3305633	0.27824
0.3300595	0.297917
0.3301627	0.223655
0.3337966	0.225521
0.3446925	0.231623
0.3106178	0.223999
0.3072747	0.223825
0.3148119	0.232735
0.3274832	0.220687
0.2934566	0.224941
0.3110251	0.247969
0.2940026	0.230117
0.3128931	0.244385
0.310141	0.251478
0.3097419	0.255065
0.2824134	0.25982
0.3663194	0.258102
0.3318171	0.194039
0.3219309	0.18534
0.3251816	0.192494
0.3064467	0.193856
0.3065571	0.189107
0.295143	0.185936
0.2760538	0.188879
0.2851662	0.189258
0.2885846	0.187411
0.269697	0.186869
0.2689125	0.184988
0.2957011	0.188429
0.2645228	0.226141
0.2597874	0.196267
0.2760847	0.204029
0.3501525	0.23729
0.3615856	0.241883
0.3577526	0.236973
0.32768	0.24064
0.3074205	0.227378
0.3096886	0.231519
0.2978979	0.249449
0.2871756	0.248721
0.3047219	0.246033
0.2975504	0.259366
0.2945318	0.244309
0.2968273	0.256874
0.2979369	0.274879
0.2958598	0.281354
0.2865029	0.271598
0.387528	0.219201
0.4009818	0.231104
0.4053283	0.231018
0.3457976	0.219273
0.3424281	0.22263
0.3635487	0.237826
0.3174105	0.238985
0.3234651	0.231734
0.3420619	0.231932
0.2272917	0.200028
0.2505744	0.218983
0.2855939	0.229149
0.231018	0.213653
0.238121	0.210479
0.2846154	0.265904
0.2631696	0.185317
0.2537644	0.198627
0.2410875	0.183963
0.2644709	0.184443
0.2484833	0.193617
0.2372485	0.188579
0.2509309	0.194917
0.2428776	0.197676
0.2297081	0.174822
0.2622418	0.203902
0.2511038	0.203275
0.2303946	0.174811
0.2424917	0.189544
0.2159686	0.185428
0.2300758	0.185208
0.3946636	0.225856
0.4081669	0.22245
0.3843665	0.2328
0.3554449	0.218701
0.3496153	0.236422
0.3575865	0.219942
0.3380587	0.235932
0.3469388	0.224637
0.3554181	0.234393
0.3757159	0.241886
0.3508772	0.249084
0.3562041	0.254929
0.3861893	0.272805
0.342094	0.253205
0.3470539	0.255119
0.3649528	0.202548
0.3661489	0.197465
0.3840488	0.203799
0.3243646	0.198649
0.3359763	0.21787
0.3348267	0.206437
0.3124355	0.20711
0.3270566	0.209446
0.3131068	0.217536
0.3010438	0.215345
0.3279375	0.236526
0.312754	0.225276
0.2783193	0.222222
0.2940182	0.211795
0.2789101	0.200815
0.3279803	0.190246
0.3411026	0.194568
0.3419296	0.198625
0.3114651	0.200075
0.3186586	0.203418
0.3168545	0.200948
0.2949309	0.204455
0.2905231	0.203184
0.3074726	0.211963
0.2793195	0.190453
0.2491668	0.176956
0.2683773	0.199203
0.3223443	0.24359
0.2514316	0.187903
0.2634185	0.208358
0.261531	0.181961
0.2505913	0.18175
0.2576823	0.194922
0.2330234	0.184982
0.2410557	0.187097
0.2559663	0.198253
0.2287848	0.184318
0.2373766	0.197503
0.2434363	0.209653
0.2312568	0.208743
0.2514151	0.224764
0.255	0.246191
0.2933713	0.210254
0.2531472	0.223864
0.2904391	0.229294
0.2804585	0.181285
0.2749168	0.1835
0.29375	0.175133
0.2644897	0.186015
0.2595511	0.188282
0.2533535	0.184943
0.2353594	0.187888
0.2408332	0.188327
0.2559484	0.203469
0.296879	0.193964
0.2409149	0.192122
0.2410507	0.219676
0.2755418	0.181255
0.2356237	0.18903
0.22777	0.178682
0.3198683	0.178636
0.3111507	0.175282
0.3232816	0.174517
0.3014109	0.184418
0.2860985	0.178506
0.2790782	0.174409
0.2741843	0.178163
0.2646813	0.170331
0.2698125	0.175049
0.3031993	0.179163
0.2483587	0.169095
0.2619258	0.157538
0.2496879	0.181856
0.2327907	0.15807
0.2137022	0.152432
0.4666728	0.220649
0.4458404	0.21601
0.432996	0.213226
0.3885742	0.23394
0.381541	0.230677
0.3780012	0.226138
0.3763505	0.247003
0.3612372	0.239784
0.3481973	0.223502
0.3274537	0.227384
0.3329116	0.249051
0.3143336	0.229505
0.3267488	0.227981
0.3217344	0.238841
0.3187166	0.232442
0.415447	0.218651
0.3907783	0.214538
0.3841085	0.216694
0.3442786	0.212687
0.3422645	0.215212
0.3243372	0.202771
0.3191427	0.213296
0.3090067	0.216623
0.2948984	0.200332
0.3306655	0.272746
0.3171118	0.255193
0.3223305	0.23106
0.3264184	0.274931
0.2901193	0.236777
0.3608933	0.245664
0.417844	0.215212
0.4181375	0.213067
0.4149492	0.218159
0.3779158	0.234534
0.3908854	0.238802
0.3876383	0.240729
0.3442993	0.239639
0.3514393	0.246056
0.3458254	0.238615
0.3359818	0.231177
0.3314501	0.248399
0.3650029	0.243592
0.3248594	0.247919
0.3318767	0.24908
0.3297458	0.257385
0.3420995	0.217154
0.3422184	0.227859
0.3536985	0.22278
0.3116453	0.223694
0.3254508	0.228495
0.3109373	0.259534
0.3389026	0.250807
0.3301869	0.241533
0.3159034	0.239272
0.3210247	0.273713
0.3596244	0.245305
0.3285816	0.263958
0.3509897	0.274882
0.3319908	0.281646
0.3540104	0.271206
0.3335758	0.263273
0.3017037	0.242694
0.2961445	0.238533
0.3130854	0.244252
0.3022819	0.252166
0.2839945	0.242681
0.3024433	0.259162
0.2791646	0.233643
0.2966491	0.249672
0.2781004	0.261717
0.2705118	0.264419
0.2745098	0.259304
0.3101157	0.273936
0.2627563	0.261087
0.2940739	0.287379
0.3441403	0.24988
0.3286038	0.244903
0.3118773	0.235195
0.3156082	0.260642
0.3194544	0.238335
0.2889434	0.216223
0.3162983	0.250863
0.3070693	0.243462
0.2829276	0.227309
0.295845	0.237116
0.2952117	0.23981
0.2863006	0.218683
0.3070884	0.238513
0.3034026	0.273393
0.2982981	0.235971
0.3553069	0.253366
0.3338946	0.243307
0.32032	0.22848
0.3479861	0.244326
0.3701352	0.253175
0.3125607	0.223452
0.3287503	0.245765
0.3474621	0.281266
0.2877193	0.24117
0.3178736	0.225658
0.3198498	0.239815
0.2952913	0.253791
0.2944694	0.235576
0.3074303	0.239319
0.303126	0.222924
0.3627081	0.263152
0.3638388	0.264195
0.3700701	0.276731
0.3497245	0.262397
0.3531938	0.26881
0.3787713	0.300878
0.3351639	0.28059
0.3450067	0.283847
0.3489933	0.290772
0.3216047	0.317795
0.3282358	0.27992
0.3835834	0.303547
0.3498298	0.320765
0.3785581	0.316308
0.3640043	0.328117
0.3769069	0.280896
0.4052819	0.293076
0.3977547	0.299986
0.3609981	0.2957
0.3775186	0.299753
0.394224	0.31219
0.3500452	0.348916
0.3574561	0.310965
0.361913	0.359974
0.3732771	0.339803
0.3847425	0.356651
0.3820927	0.3261322  2
0.3519637	0.369713
0.3356465	0.434624
0.4017467	0.392285
0.3240405	0.242998
0.3076724	0.245673
0.3217662	0.239674
0.3238806	0.259204
0.3017742	0.252419
0.3017826	0.245938
0.3071721	0.281148
0.2929936	0.267516
0.2877946	0.259054
0.29315	0.271299
0.3009111	0.276779
0.3469136	0.275309
0.3070381	0.322287
0.3565476	0.322024
0.3624962	0.33833
0.340994	0.278001
0.3313783	0.281804
0.3418683	0.2991
0.2923506	0.271832
0.3195143	0.273721
0.3184781	0.301568
0.278993	0.269707
0.3009229	0.281606
0.2851188	0.277616
0.2877572	0.286001
0.2905221	0.27419
0.2928987	0.289361
0.3226205	0.314586
0.3041667	0.329487
0.3172269	0.3223289  3
0.3237699	0.234214
0.3346223	0.237536
0.3355513	0.249864
0.3177049	0.244426
0.3283019	0.251286
0.3325901	0.25506
0.30961	0.262364
0.3138641	0.265226
0.3202914	0.263892
0.318398	0.27985
0.3322087	0.28679
0.3386465	0.281944
0.3271222	0.31677
0.3247052	0.294507
0.3738854	0.310828
0.3228976	0.238574
0.3038967	0.238989
0.3180742	0.24456
0.2919677	0.22057
0.2771036	0.216429
0.2768408	0.240642
0.2813875	0.227411
0.2680125	0.218776
0.2747162	0.238855
0.2721506	0.214651
0.2849116	0.219771
0.2730539	0.214571
0.2683095	0.209581
0.2865128	0.228433
0.2644877	0.221604
0.3160188	0.254859
0.3248967	0.268767
0.3561368	0.272468
0.2951076	0.258317
0.3145998	0.281833
0.3261699	0.276762
0.2704821	0.269057
0.2675439	0.276803
0.3082093	0.293807
0.2674271	0.275665
0.2760976	0.280976
0.2953518	0.286637
0.2922741	0.306487
0.2869214	0.324761
0.2908766	0.301968
0.3525533	0.239094
0.3475286	0.224132
0.3709349	0.253079
0.3004966	0.228664
0.2948703	0.224674
0.3041076	0.234086
0.2918472	0.25799
0.3021077	0.259953
0.2921483	0.237013
0.3323193	0.252505
0.30167	0.253906
0.2882736	0.228339
0.2823162	0.243127
0.2848485	0.246667
0.2898339	0.218288
0.3555576	0.185886
0.337887	0.18185
0.3468777	0.179332
0.2948297	0.17683
0.2885914	0.178052
0.2946512	0.181163
0.2853495	0.175
0.2712829	0.173573
0.2791762	0.180643
0.2546296	0.183583
0.2596783	0.18402
0.2477096	0.173552
0.2437612	0.178279
0.2419512	0.173073
0.2399844	0.168654
0.3207438	0.174802
0.3395983	0.171838
0.3397299	0.176972
0.2896452	0.178977
0.3244562	0.189717
0.3220871	0.188963
0.2687601	0.18744
0.287444	0.191906
0.2907563	0.202689
0.2451563	0.191061
0.2664226	0.195241
0.2822034	0.216314
0.2549063	0.199599
0.2627238	0.200283
0.2658341	0.205843
0.3427488	0.165286
0.3439217	0.170113
0.3373257	0.169645
0.3045955	0.175534
0.295302	0.17361
0.2929142	0.178144
0.2782509	0.200131
0.2719833	0.183087
0.290728	0.213026
0.2557487	0.190877
0.2478817	0.173427
0.2581417	0.20184
0.245065	0.202696
0.2457944	0.198598
0.2421148	0.202859
0.442336	0.196415
0.4415965	0.199772
0.4648484	0.201541
0.3732474	0.209739
0.3819484	0.213467
0.3742074	0.209717
0.3379044	0.211205
0.3415653	0.209497
0.342227	0.212736
0.3125486	0.217385
0.3015822	0.225987
0.308031	0.216032
0.2943377	0.222411
0.2851461	0.208888
0.309031	0.245466
0.3767099	0.203855
0.3838563	0.203396
0.3862256	0.21015
0.3338325	0.211781
0.3317122	0.211498
0.3308722	0.208735
0.2997562	0.207711
0.306178	0.21943
0.3055862	0.209914
0.2961774	0.192661
0.2906381	0.196864
0.296423	0.205599
0.278855	0.208864
0.276118	0.229356
0.2909782	0.224122
0.3236724	0.215078
0.3172427	0.215232
0.3456405	0.220555
0.300679	0.207566
0.3017811	0.208581
0.3101884	0.221331
0.2500595	0.187068
0.2586298	0.20247
0.2773299	0.215528
0.2346182	0.198691
0.2486938	0.188536
0.2766576	0.218216
0.2416933	0.197125
0.2390361	0.194538
0.2896893	0.232704
0.3188121	0.219097
0.3147834	0.21177
0.2983967	0.212093
0.2844047	0.204489
0.2695012	0.194398
0.2615589	0.197916
0.2609633	0.188641
0.234377	0.175463
0.2350135	0.183061
0.2460422	0.184697
0.2076628	0.171494
0.216283	0.18554
0.2034358	0.165461
0.2067488	0.165685
0.1941596	0.16235
0.4093203	0.252004
0.3873266	0.241022
0.3764398	0.250121
0.3829574	0.257644
0.3472597	0.241169
0.3471871	0.244187
0.3440474	0.24606
0.3165642	0.234529
0.3218408	0.236546
0.3185455	0.259636
0.2979923	0.245333
0.301539	0.248568
0.3838666	0.267903
0.4011314	0.271278
0.3805242	0.299589
0.3536766	0.262238
0.352658	0.260151
0.332893	0.251702
0.3433687	0.253448
0.3134077	0.24598
0.2897859	0.24
0.3632952	0.270339
0.385962	0.268642
0.3619299	0.280586
0.3585869	0.285593
0.3624582	0.300585
0.3561248	0.288906
0.374947	0.258804
0.3876172	0.261064
0.3803807	0.254056
0.3994914	0.263785
0.3577685	0.261555
0.312659	0.221078
0.3663571	0.254386
0.3369602	0.285957
0.3170107	0.232197
0.3327316	0.254713
0.2924995	0.23345
0.3033644	0.228664
0.3259086	0.272216
0.3170049	0.288314
0.2914444	0.262428
0.403593	0.259737
0.3908649	0.250558
0.3707286	0.245777
0.3755187	0.248484

0.3446537	0.233427
0.3857013	0.253188
0.3761449	0.262906
0.3261445	0.231177
0.3632645	0.22625
0.3795602	0.266753
0.3463713	0.252121
0.3148108	0.233297
0.3950931	0.239707
0.361793	0.274013
0.3369051	0.206579
0.4179707	0.279859
0.4350569	0.293795
0.4433584	0.296738
0.4038414	0.288228
0.4257338	0.294028
0.4397514	0.302004
0.3834991	0.289092
0.4052953	0.30465
0.4041518	0.304574
0.4204829	0.321815
0.3991013	0.317811
0.4316504	0.316903
0.3612434	0.330158
0.3903531	0.34361
0.3862755	0.353783
0.320348	0.234775
0.3197459	0.244045
0.3262991	0.237932
0.303124	0.236932
0.3009841	0.235428
0.3293166	0.238307
0.2960714	0.241412
0.2793499	0.247036
0.2833814	0.247839
0.2764286	0.295476
0.275944	0.257659
0.2743448	0.268574
0.2534319	0.271119
0.2551451	0.53905
0.2825789	0.261454
0.3446878	0.223658
0.3544665	0.226459
0.362811	0.222932
0.3136203	0.221117
0.3346912	0.229041
0.3149149	0.224713
0.2905759	0.229135
0.3164038	0.235962
0.2996446	0.246021
0.2544388	0.209734
0.2548604	0.211736
0.2516376	0.251274
0.2341181	0.220665
0.2439741	0.208897
0.2565643	0.251001
